Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source
South Africa,Eastern Cape,Du Preez Street Clinic,Clinic,MoH,-33.8033,25.4627,GPS
South Africa,Eastern Cape,Duncan Village CHC,Community Health Centre,MoH,-33.0078,27.8859999999999,GPS
South Africa,Eastern Cape,Dundee Clinic,Clinic,MoH,-30.7488999999999,29.4182999999999,GPS
South Africa,Eastern Cape,Dungu Clinic,Clinic,MoH,-30.9569,29.3028,GPS
South Africa,Eastern Cape,Edamini Clinic,Clinic,MoH,-33.8327,25.3856,GPS
South Africa,Eastern Cape,Efata Clinic,Clinic,MoH,-31.5697,28.7242,GPS
South Africa,Eastern Cape,Ekuphumleni Clinic,Clinic,MoH,-32.1781,26.7819,GPS
South Africa,Eastern Cape,Ekuphumleni Satellite Clinic Nelson Mandela Bay,Satellite Clinic,MoH,-33.8545,25.2902999999999,GPS
South Africa,Eastern Cape,Elliot Clinic,Clinic,MoH,-31.3333,27.8494999999999,GPS
South Africa,Eastern Cape,Elliot Hospital,District Hospital,MoH,-31.3371,27.838,GPS
South Africa,Eastern Cape,Elucwecwe Clinic,Clinic,MoH,-31.7337999999999,27.8688,GPS
South Africa,Eastern Cape,Eluhewini Clinic,Clinic,MoH,-31.7058,28.1264,GPS
South Africa,Eastern Cape,Elukholweni Clinic,Clinic,MoH,-30.6328999999999,28.8480999999999,GPS
South Africa,Eastern Cape,Eluxolweni Clinic,Clinic,MoH,-31.6433,25.8051999999999,GPS
South Africa,Eastern Cape,Empilisweni Clinic,Clinic,MoH,-31.1936,28.2395,GPS
South Africa,Eastern Cape,Empilisweni Hospital,District Hospital,MoH,-30.5332,27.3534,GPS
South Africa,Eastern Cape,Empilweni Gompo CHC,Community Health Centre,MoH,-33.0144999999999,27.8489,GPS
South Africa,Eastern Cape,Engojini Clinic,Clinic,MoH,-32.2239,26.7539,GPS
South Africa,Eastern Cape,Esilindini Clinic,Clinic,MoH,-30.5439,27.3303,GPS
South Africa,Eastern Cape,Ethembeni Clinic,Clinic,MoH,-32.7627999999999,27.4317999999999,GPS
South Africa,Eastern Cape,Eureka Clinic,Clinic,MoH,-31.0103,26.3189999999999,GPS
South Africa,Eastern Cape,Ezibeleni Clinic,Clinic,MoH,-31.9081,26.9563999999999,GPS
South Africa,Eastern Cape,Ezingcuka Clinic,Clinic,MoH,-31.3005,28.6583,GPS
South Africa,Eastern Cape,Fezeka NU 3 Clinic,Clinic,MoH,-32.9318999999999,27.7532,GPS
South Africa,Eastern Cape,Fish River Clinic,Clinic,MoH,-31.9118999999999,25.4159,GPS
South Africa,Eastern Cape,Flagstaff Clinic,Clinic,MoH,-31.0803,29.4969,GPS
South Africa,Eastern Cape,Fort Beaufort Gateway Clinic,Clinic,MoH,-32.7815999999999,26.6347999999999,GPS
South Africa,Eastern Cape,Fort Beaufort Hospital,District Hospital,MoH,-32.7802,26.6336,GPS
South Africa,Eastern Cape,Fort Grey Clinic,Clinic,MoH,-33.0369999999999,27.8032,GPS
