name,type,ownership,latitude,longitude,source
Vukukhanye Gateway Clinic,Clinic,MoH,-32.0956,28.8784,GPS
Vuyolwethu Clinic,Clinic,MoH,-33.3326,24.3414,GPS
Walmer 14th Avenue Clinic,Clinic,MoH,-33.9823,25.5630,GPS
War Memorial Clinic,Clinic,MoH,-32.7928,26.8308,GPS
Wartburg Clinic,Clinic,MoH,-32.4447,27.4207,GPS
Washington Clinic,Clinic,MoH,-32.9922,27.0105,GPS
Welcomewood Clinic,Clinic,MoH,-33.0091,27.5979,GPS
Wells Estate Clinic,Clinic,MoH,-33.8227,25.6339,GPS
Wesley Clinic,Clinic,MoH,-33.3226,27.3369,GPS
West End CHC,Community Health Centre,MoH,-33.8847,25.5182,GPS
Westbank Nursery School Satellite Clinic,Satellite Clinic,MoH,-33.0318,27.9102,GPS
Weston Clinic,Clinic,MoH,-33.8484,24.8654,GPS
Whittlesea CHC,Community Health Centre,MoH,-32.1729,26.8208,GPS
Wilhelm Stahl Hospital Middelburg,District Hospital,MoH,-31.4917,24.9935,GPS
Willowmore Clinic,Clinic,MoH,-33.2921,23.4871,GPS
Willowmore Hospital,District Hospital,MoH,-33.3004,23.4676,GPS
Willowvale CHC,Community Health Centre,MoH,-32.2654,28.4982,GPS
Wilo Clinic,Clinic,MoH,-31.8936,28.9432,GPS
Wittebergen Clinic,Clinic,MoH,-30.6023,27.1061,GPS
Wongalethu Clinic,Clinic,MoH,-33.0267,24.3255,GPS
Woodlands Clinic,Clinic,MoH,-34.0031,24.1650,GPS
Xhora CHC,Community Health Centre,MoH,-31.9678,28.6839,GPS
Xhwili Clinic,Clinic,MoH,-31.7352,28.5680,GPS
Xonxa Clinic,Clinic,MoH,-31.8489,27.0895,GPS
Xopozo Clinic,Clinic,MoH,-30.9883,29.4604,GPS
Xume Clinic,Clinic,MoH,-32.0595,27.9032,GPS
Xurana Clinic,Clinic,MoH,-31.2348,29.4949,GPS
Yonda Clinic,Clinic,MoH,-32.2842,26.6747,GPS
Zabasa Clinic,Clinic,MoH,-31.4464,28.2716,GPS
Zadungeni Clinic,Clinic,MoH,-31.5612,27.8938,GPS
Zalara Clinic,Clinic,MoH,-32.5953,27.1013,GPS
Zanempilo Clinic East London,Clinic,MoH,-32.9545,27.9915,GPS
Zanempilo Clinic Zwelitsha,Clinic,MoH,-32.8010,27.4179,GPS
Zazulwana Clinic,Clinic,MoH,-32.2946,28.1606,GPS
Zenethemba Clinic,Clinic,MoH,-30.4874,27.4061,GPS
Zidindi Clinic,Clinic,MoH,-31.9897,29.0322,GPS
Zigodlo Clinic,Clinic,MoH,-32.9835,27.0653,GPS
Zihlahleni Clinic,Clinic,MoH,-32.8623,27.2011,GPS
Zikhova Clinic,Clinic,MoH,-33.2292,27.4783,GPS
Zingisa Clinic,Clinic,MoH,-33.8662,25.5827,GPS
Zingisa NU 5 Clinic,Clinic,MoH,-32.9565,27.7387,GPS
Zingquthu Clinic,Clinic,MoH,-31.7514,26.8609,GPS
Zitatele Clinic,Clinic,MoH,-31.5540,28.8321,GPS
Zitulele Gateway Clinic,Clinic,MoH,-32.0505,29.0916,GPS
Zitulele Hospital,District Hospital,MoH,-32.0505,29.0916,GPS
Zola Clinic,Clinic,MoH,-32.0115,26.2476,GPS
Zulu Clinic,Clinic,MoH,-30.9835,29.3028,GPS
Zwelakhe Dalasile CHC,Community Health Centre,MoH,-31.6481,28.2439,GPS
Zwelebhunga Clinic,Clinic,MoH,-31.9987,28.7292,GPS
Zweledinga Clinic,Clinic,MoH,-32.3220,26.6752,GPS
Zwelichumile Clinic,Clinic,MoH,-31.8929,28.6275,GPS
Zwelitsha Zone 5 Clinic,Clinic,MoH,-32.9241,27.4237,GPS
Zwide Clinic,Clinic,MoH,-33.8680,25.5552,GPS
Aandrus Clinic,Clinic,MoH,-29.1255,26.1952,GPS
Albert Luthuli Memorial Clinic,Clinic,MoH,-27.8362,26.3668,GPS
Allanridge Clinic,Clinic,MoH,-27.7533,26.6448,GPS
AM Kruger Clinic,Clinic,MoH,-27.8730,26.6853,GPS
Amelia Clinic,Clinic,MoH,,,
Ango Maseola Marikana Clinic,Clinic,MoH,-25.6754,27.2349,GPS
Bainsvlei Clinic,Clinic,MoH,-29.0645,26.1299,GPS
Bakenpark Clinic,Clinic,MoH,-28.2185,28.3342,GPS
Batho Clinic,Clinic,MoH,-29.1389,26.2273,GPS
Bayswater Clinic,Clinic,MoH,-29.0847,26.2441,GPS
Bethlehem Clinic,Clinic,MoH,-28.2327,28.3079,GPS
Bethlehem Youth Clinic,Clinic,MoH,-28.2330,28.3080,GPS
Bloemspruit Clinic,Clinic,MoH,-29.1373,26.2714,GPS
Blue Gum Bush Clinic,Clinic,MoH,-28.4825,28.8491,GPS
Bohlokong Clinic,Clinic,MoH,-28.2242,28.3161,GPS
Boiketlo Clinic,Clinic,MoH,-28.5496,28.8261,GPS
Boithusong Clinic,Clinic,MoH,-27.8552,26.7605,GPS
Boitumelo Hospital,Regional Hospital,MoH,-27.6440,27.2132,GPS
Boitumelo Senekal Clinic,Clinic,MoH,-28.3436,27.6313,GPS
Bolata Clinic,Clinic,MoH,-28.5638,28.7958,GPS
Bongani Hospital,Regional Hospital,MoH,-27.9531,26.7862,GPS
Bophelong Allanridge Clinic,Clinic,MoH,-27.7769,26.6569,GPS
Bophelong Botshabelo Clinic,Clinic,MoH,-29.2778,26.7331,GPS
Bophelong Kroonstad Clinic,Clinic,MoH,-27.6348,27.1892,GPS
Bophelong Odendaalsrus Clinic,Clinic,MoH,-27.8591,26.7765,GPS
Bophelong Petrusburg CHC,Community Health Centre,MoH,-29.1190,25.4182,GPS
Bophelong Vrede Clinic,Clinic,MoH,-27.4183,29.1736,GPS
Bophelong Welkom Clinic,Clinic,MoH,-27.9690,26.8353,GPS
Borwa Clinic,Clinic,MoH,-29.1962,27.0300,GPS
Boshof Clinic,Clinic,MoH,-28.5504,25.2516,GPS
Bothaville Clinic,Clinic,MoH,-27.3925,26.6194,GPS
Botshabelo Hospital,District Hospital,MoH,-29.2325,26.7157,GPS
Botshabelo Industrial Clinic,Clinic,MoH,-29.2041,26.7041,GPS
Brentpark Clinic,Clinic,MoH,-27.6685,27.1937,GPS
Bronville Clinic,Clinic,MoH,-27.9965,26.8132,GPS
Central Park Clinic,Clinic,MoH,-29.1207,26.2230,GPS
Clocolan Clinic,Clinic,MoH,-28.9100,27.5742,GPS
DA Maleho Clinic,Clinic,MoH,-28.2914,26.1539,GPS
Daniel Ngatane Clinic,Clinic,MoH,-29.2326,26.7276,GPS
Dealesville Clinic,Clinic,MoH,-28.6717,25.7653,GPS
Deneysville Clinic,Clinic,MoH,-26.8911,28.0972,GPS
Dewetsdorp One Stop Clinic,Clinic,MoH,-29.5852,26.6689,GPS
Diamond Diamant Hospital,District Hospital,MoH,-29.7603,25.4232,GPS
Dihlabeng Gateway Clinic,Clinic,MoH,-28.2332,28.3197,GPS
Dihlabeng Hospital,Regional Hospital,MoH,-28.2331,28.3197,GPS
Dinaane Clinic,Clinic,MoH,-29.2275,26.8313,GPS
Dinkweng Clinic,Clinic,MoH,-28.6282,28.8966,GPS
Dr JS Moroka Hospital,District Hospital,MoH,-29.2045,26.8347,GPS
Dr Pedro Memorial Clinic,Clinic,MoH,-29.2079,26.6818,GPS
Duke Street Clinic,Clinic,MoH,-28.6973,26.4638,GPS
Elizabeth Ross Hospital,District Hospital,MoH,-28.5890,28.8176,GPS
Elrich Park Clinic,Clinic,MoH,-29.1521,26.2128,GPS
Embekweni Hospital,District Hospital,MoH,-30.2921,27.0754,GPS
Ethembeni Clinic,Clinic,MoH,-29.3933,24.9918,GPS
Eva Mota Clinic,Clinic,MoH,-28.6334,28.8684,GPS
Excelsior Clinic,Clinic,MoH,-28.9329,27.0566,GPS
Fateng Tse Ntsho Clinic,Clinic,MoH,-28.2990,27.9674,GPS
Fauna Clinic,Clinic,MoH,-29.1655,26.1899,GPS
Fauresmith Clinic,Clinic,MoH,-29.7446,25.3094,GPS
Fezi Ngumbentombi Hospital,District Hospital,MoH,-26.8014,27.8276,GPS
Fichardtpark Clinic,Clinic,MoH,-29.1438,26.1818,GPS
Flora Clinic,Clinic,MoH,-30.5930,25.4949,GPS
Frankfort Clinic,Clinic,MoH,-27.2777,28.4925,GPS
Freedom Square Clinic,Clinic,MoH,-29.1738,26.2537,GPS
Gabriel Dichabe Clinic,Clinic,MoH,-29.1147,26.2154,GPS
Gaongalelwe Clinic,Clinic,MoH,-29.1683,26.8010,GPS
Geneva Clinic,Clinic,MoH,-27.8552,26.7554,GPS
Hani Park Clinic,Clinic,MoH,-27.9871,26.8236,GPS
Harrismith Clinic,Clinic,MoH,-28.2726,29.1267,GPS
Harry Gwala Botshabelo Clinic,Clinic,MoH,-29.2876,26.7111,GPS
Harry Gwala Sasolburg Clinic,Clinic,MoH,-26.8500,27.8790,GPS
Heidedal CHC,Community Health Centre,MoH,-29.1416,26.2464,GPS
Heidedal Clinic,Clinic,MoH,-29.1420,26.2460,GPS
Heilbron Clinic,Clinic,MoH,-27.2903,27.9681,GPS
Heilbron PHC Inside Clinic,Clinic,MoH,-27.2900,27.9680,GPS
Helpmekaar Satellite Clinic,Satellite Clinic,MoH,-27.7514,26.1151,GPS
Hennenman Clinic,Clinic,MoH,-27.9724,27.0200,GPS
Highway Junction Clinic,Clinic,MoH,-28.2885,29.1316,GPS
Hill Street Clinic,Clinic,MoH,-27.6631,27.2403,GPS
Hilton Clinic,Clinic,MoH,-29.1073,26.2383,GPS
Hlohlolwane Clinic,Clinic,MoH,-28.9119,27.5522,GPS
Hobhouse Clinic,Clinic,MoH,-29.5214,27.1475,GPS
Hoopstad Clinic,Clinic,MoH,-27.8323,25.9147,GPS
Hope CHC,Community Health Centre,MoH,-28.0817,27.1440,GPS
Hostel nr 1 Clinic,Clinic,MoH,-29.1341,26.2383,GPS
Hydropark Clinic,Clinic,MoH,-30.5930,25.4940,GPS
Ikaheng Clinic,Clinic,MoH,-29.1681,27.4599,GPS
Ikgomotseng Clinic,Clinic,MoH,-28.7361,26.1049,GPS
Intabazwe Clinic,Clinic,MoH,-28.2529,29.0967,GPS
Itemoheng Hospital,District Hospital,MoH,-28.3274,27.6055,GPS
Itumeleng Botshabelo Clinic,Clinic,MoH,-29.2854,26.7197,GPS
Itumeleng Clarens Clinic,Clinic,MoH,-28.5225,28.4213,GPS
Itumeleng Jagersfontein Clinic,Clinic,MoH,-29.7669,25.4349,GPS
Jacobsdal Clinic,Clinic,MoH,-29.1299,24.7716,GPS
Jazzman Mokhothu Clinic,Clinic,MoH,-29.2572,26.7139,GPS
John Daniel Newberry Hospital,District Hospital,MoH,-28.9100,27.5742,GPS
Kagisanong Clinic,Clinic,MoH,-29.1962,26.2450,GPS
Kamohelo Clinic,Clinic,MoH,-28.5311,27.0017,GPS
Kananelo CHC,Community Health Centre,MoH,-27.0047,27.3681,GPS
Katleho Hospital,District Hospital,MoH,-28.1105,26.8580,GPS
Kgalala Clinic,Clinic,MoH,-28.9888,26.8043,GPS
Kganya CHC,Community Health Centre,MoH,-27.2342,27.5875,GPS
Kgotso Clinic,Clinic,MoH,-27.5553,27.6637,GPS
Kgotsong Bothaville Clinic,Clinic,MoH,-27.3902,26.6442,GPS
Khosatsana Masetjhaba Clinic,Clinic,MoH,,,
Khotalong Clinic,Clinic,MoH,-28.1318,26.9029,GPS
Klipfontein Clinic,Clinic,MoH,-29.5228,26.9830,GPS
K-Maile Clinic,Clinic,MoH,-27.3839,26.6574,GPS
Kokelong Clinic,Clinic,MoH,-28.6780,27.4143,GPS
Kopano CHC,Community Health Centre,MoH,-27.9830,26.7280,GPS
Kopanong Clinic,Clinic,MoH,-28.3312,28.6981,GPS
Ladybrand Clinic,Clinic,MoH,-29.1910,27.4590,GPS
Langenhovenpark Clinic,Clinic,MoH,-29.0978,26.1559,GPS
Lebohang Clinic,Clinic,MoH,-29.7205,27.0272,GPS
Lephoi Clinic,Clinic,MoH,-30.4978,25.9798,GPS
Leratong Clinic,Clinic,MoH,-27.7808,26.6568,GPS
Leratswana Clinic,Clinic,MoH,-28.0277,27.8440,GPS
Lesedi CHC,Community Health Centre,MoH,-27.6409,27.1923,GPS
Lesedi Clinic,Clinic,MoH,-28.2479,29.1054,GPS
Leseding Clinic,Clinic,MoH,-27.8815,27.9074,GPS
Lindley Clinic,Clinic,MoH,-27.8813,27.9159,GPS
Lourierpark Clinic,Clinic,MoH,-29.1778,26.1744,GPS
Luckhoff Clinic,Clinic,MoH,-29.7499,24.7863,GPS
Lusaka Clinic,Clinic,MoH,-28.4166,26.6980,GPS
Mafane Clinic,Clinic,MoH,-29.1989,26.8134,GPS
Mafube Hospital,District Hospital,MoH,-27.2788,28.5002,GPS
Ma-haig Clinic,Clinic,MoH,-28.5193,28.8014,GPS
Makeneng Clinic,Clinic,MoH,-28.6144,28.8216,GPS
Makhalaneng Clinic,Clinic,MoH,-28.5508,28.7914,GPS
Makoane Clinic,Clinic,MoH,-28.5346,28.8882,GPS
Malesaona Clinic,Clinic,MoH,-28.5585,28.7210,GPS
Maletsatsi Mabaso Clinic,Clinic,MoH,-29.2547,26.7320,GPS
Mamello CHC,Community Health Centre,MoH,-28.6668,27.4265,GPS
Mamello Clinic,Clinic,MoH,-30.0341,25.7807,GPS
Manyatseng Clinic,Clinic,MoH,-29.1724,27.4656,GPS
Marakong Clinic,Clinic,MoH,-28.5652,28.8471,GPS
Marantha Clinic,Clinic,MoH,-28.6907,26.4628,GPS
Masebabatso Clinic,Clinic,MoH,-28.9043,27.8833,GPS
Masilo Clinic,Clinic,MoH,-28.4098,26.7071,GPS
Matjhabeng Clinic,Clinic,MoH,-27.9673,26.7984,GPS
Matlakeng Clinic,Clinic,MoH,-30.2960,27.0944,GPS
Matlakeng Hospital,District Hospital,MoH,-30.2968,27.1004,GPS
Matsieng Clinic,Clinic,MoH,-28.6015,28.8010,GPS
Matwabeng Clinic,Clinic,MoH,-28.3443,27.6287,GPS
Mauersnek Clinic,Clinic,MoH,-29.1903,27.4395,GPS
MCDC Clinic,Clinic,MoH,-29.1753,26.2199,GPS
Meloding Clinic,Clinic,MoH,-28.1299,26.8977,GPS
Memel Clinic,Clinic,MoH,-27.6778,29.5642,GPS
Meqheleng Clinic,Clinic,MoH,-28.8898,27.8771,GPS
Metsimaholo Clinic,Clinic,MoH,-26.9791,28.2111,GPS
Mmabana Clinic,Clinic,MoH,-29.1507,26.2417,GPS
Mmamahabane Clinic,Clinic,MoH,-28.0917,27.1477,GPS
Mofumahadi Manapo Mopeli Hospital,Regional Hospital,MoH,-28.5370,28.8051,GPS
Mohau Hospital,District Hospital,MoH,-27.8323,25.9154,GPS
Mokwena Clinic,Clinic,MoH,-29.1939,26.8407,GPS
Molefi Tau Clinic,Clinic,MoH,-29.2109,26.7193,GPS
Monontsha Clinic,Clinic,MoH,-28.5656,28.7449,GPS
Monument Clinic,Clinic,MoH,-29.1327,26.2188,GPS
Mphatlalatsane Clinic,Clinic,MoH,-28.5093,28.8368,GPS
Mphohadi Clinic,Clinic,MoH,-28.1977,28.3258,GPS
MUCPP CHC,Community Health Centre,MoH,-29.1792,26.2429,GPS
Nala Hospital,District Hospital,MoH,-27.3946,26.6178,GPS
Namahali Clinic,Clinic,MoH,-28.5836,28.8296,GPS
National District Hospital,District Hospital,MoH,-29.1270,26.2064,GPS
National District Hospital Gateway Clinic,Clinic,MoH,-29.1281,26.2070,GPS
Nelson Mandela Clinic,Clinic,MoH,-29.7310,25.9416,GPS
Nketoana Hospital,District Hospital,MoH,-27.8028,28.4189,GPS
Noorderbloem Clinic,Clinic,MoH,-29.1500,26.2500,GPS
Nothnagel Clinic,Clinic,MoH,-28.6765,27.4202,GPS
Nthabiseng Clinic,Clinic,MoH,-28.5908,28.7822,GPS
Opkoms Clinic,Clinic,MoH,-29.1445,26.2523,GPS
Oppermansgronde Clinic,Clinic,MoH,-29.4135,24.7448,GPS
OR Tambo Clinic,Clinic,MoH,-28.1496,26.8873,GPS
OR Tambo Senekal Clinic,Clinic,MoH,-28.3257,27.6135,GPS
Paballong Clinic,Clinic,MoH,-28.5552,28.7770,GPS
Parys Clinic,Clinic,MoH,-26.8993,27.4572,GPS
Parys Hospital,District Hospital,MoH,-26.8959,27.4721,GPS
Paul Roux Clinic,Clinic,MoH,-28.2960,27.9556,GPS
PAX CHC,Community Health Centre,MoH,-27.1989,26.9498,GPS
Pelonomi Hospital,Provincial Tertiary Hospital,MoH,-29.1413,26.2457,GPS
Petsana Clinic,Clinic,MoH,-27.8040,28.4465,GPS
Phahameng Bultfontein Clinic,Clinic,MoH,-28.3007,26.1485,GPS
Phahameng Frankfort Clinic,Clinic,MoH,-27.2549,28.5131,GPS
Phedisanang Clinic,Clinic,MoH,-27.8565,26.7705,GPS
Phedisong Clinic,Clinic,MoH,-27.0212,28.6276,GPS
Phekolong Cornelia Clinic,Clinic,MoH,-27.2285,28.8507,GPS
Phekolong Hospital,District Hospital,MoH,-28.2176,28.3265,GPS
Phekolong Reddersburg Clinic,Clinic,MoH,-29.6528,26.1665,GPS
Phetogo Clinic,Clinic,MoH,-29.3677,26.8368,GPS
Philani Clinic,Clinic,MoH,-27.2679,28.5048,GPS
Philippolis Clinic,Clinic,MoH,-30.2663,25.2751,GPS
Phomolong Ficksburg Clinic,Clinic,MoH,-28.8943,27.8818,GPS
Phomolong Hennenman Clinic,Clinic,MoH,-28.0140,27.0812,GPS
Phumelela Hospital,District Hospital,MoH,-27.4335,29.1558,GPS
Phuthaditjhaba Clinic,Clinic,MoH,-28.5201,28.8206,GPS
Phuthuloha Hospital,District Hospital,MoH,-28.8813,27.8720,GPS
Poly Clinic,Clinic,MoH,-29.1338,26.2391,GPS
Potlako Motlohi Clinic,Clinic,MoH,-29.2716,26.7232,GPS
Pule Sefatsa Clinic,Clinic,MoH,-29.2614,26.6912,GPS
Qalabotjha Clinic,Clinic,MoH,-27.0204,28.6250,GPS
Qholaqhwe Clinic,Clinic,MoH,-28.5228,28.8551,GPS
Rainbow Clinic,Clinic,MoH,-27.5534,28.5132,GPS
Rammulotsi Clinic,Clinic,MoH,-27.1949,26.9537,GPS
Rearabetsoe Virginia Clinic,Clinic,MoH,-28.0624,26.8642,GPS
Rearabetswe Clinic,Clinic,MoH,-27.6541,28.1285,GPS
Refengkgotso Clinic,Clinic,MoH,-26.8934,28.0716,GPS
Reitumetse Clinic,Clinic,MoH,-28.6206,28.1955,GPS
Reitz Clinic,Clinic,MoH,-27.8030,28.4197,GPS
Relebohile Heilbron Clinic,Clinic,MoH,-27.2717,27.9754,GPS
Relebohile Rosendal Clinic,Clinic,MoH,-28.5084,27.9227,GPS
Relebohile Vredefort Clinic,Clinic,MoH,-27.0021,27.3761,GPS
Rheederspark Clinic,Clinic,MoH,-27.9545,26.7200,GPS
Riebeeckstad Clinic,Clinic,MoH,-27.9335,26.8119,GPS
Riverside Clinic,Clinic,MoH,-28.5437,28.8130,GPS
Sandersville Clinic,Clinic,MoH,-27.2747,27.9650,GPS
SANDF Clinic,Clinic,MoH,-29.0910,26.1895,GPS
Sasolburg Clinic,Clinic,MoH,-26.8179,27.8277,GPS
Schonkenville Clinic,Clinic,MoH,-26.9332,27.4628,GPS
Seadimo Clinic,Clinic,MoH,-29.1004,26.9845,GPS
Sediba Clinic,Clinic,MoH,-29.0289,26.9430,GPS
Sedibeng sa Bophelo Clinic,Clinic,MoH,-27.9455,27.5541,GPS
Seeisoville Clinic,Clinic,MoH,-27.6541,27.2102,GPS
Sehularo Tau Clinic,Clinic,MoH,-30.2591,25.7073,GPS
Sekamotho Mota Clinic,Clinic,MoH,-28.6487,28.8523,GPS
Senekal Clinic,Clinic,MoH,-28.3279,27.6057,GPS
Senekal Farms Clinic,Clinic,MoH,-28.3250,27.6100,GPS
Senorita Ntlabathi Hospital,District Hospital,MoH,-29.2029,27.4481,GPS
Sizabantu Clinic,Clinic,MoH,-27.2661,27.9776,GPS
Soetwater Clinic,Clinic,MoH,-28.8748,27.8759,GPS
Stoffel Coetzee Hospital,District Hospital,MoH,-30.2177,26.5244,GPS
Tebang Clinic,Clinic,MoH,-28.5260,28.8724,GPS
Thaba Bosiu Clinic,Clinic,MoH,-28.5982,28.8837,GPS
Thaba Nchu Clinic,Clinic,MoH,-29.2180,26.8478,GPS
Thaba Phatswa Clinic,Clinic,MoH,-29.3128,27.1249,GPS
Thabang Clinic,Clinic,MoH,-28.6094,28.8306,GPS
Thabong Clinic,Clinic,MoH,-27.9640,26.7916,GPS
Thambo Container Clinic,Clinic,MoH,-28.4000,27.5000,GPS
Thebe Hospital,District Hospital,MoH,-28.2722,29.1381,GPS
Thembalethu Clinic,Clinic,MoH,-30.2140,26.5356,GPS
Thusa Bophelo Clinic,Clinic,MoH,-27.8363,28.9780,GPS
Thusanang Sasolburg Clinic,Clinic,MoH,-26.8449,27.8645,GPS
Thusanong Hospital,District Hospital,MoH,-27.8773,26.6592,GPS
Thusanong Kroonstad Clinic,Clinic,MoH,-27.6487,27.1902,GPS
Thusanong Parys Clinic,Clinic,MoH,-26.9201,27.4848,GPS
Thusong Clinic,Clinic,MoH,-29.1847,26.2346,GPS
Tiger River Clinic,Clinic,MoH,-29.1204,26.7894,GPS
Tina Moloi Clinic,Clinic,MoH,-28.6097,28.8563,GPS
Tokollo Hospital,District Hospital,MoH,-27.2891,27.9617,GPS
TS Mahloko Clinic,Clinic,MoH,-29.2430,26.7166,GPS
Tsatsi SPS Clinic,Clinic,MoH,-26.8444,27.8557,GPS
Tseki Clinic,Clinic,MoH,-28.5858,28.7723,GPS
Tshepo Themba Clinic,Clinic,MoH,-26.3496,28.2023,GPS
Tshepong Kroonstad Clinic,Clinic,MoH,-27.6388,27.1740,GPS
Tshepong Verkeerdevlei Clinic,Clinic,MoH,-28.8401,26.7621,GPS
Tshepong Welkom Clinic,Clinic,MoH,-27.9577,26.8361,GPS
Tshiame A Clinic,Clinic,MoH,-28.3200,28.9900,GPS
Tshiame B Clinic,Clinic,MoH,-28.3243,28.9947,GPS
Tshirela Clinic,Clinic,MoH,-28.6228,28.8046,GPS
Tshwaraganang Dealesville Clinic,Clinic,MoH,-28.6579,25.7714,GPS
Tshwaraganang Hertzogville Clinic,Clinic,MoH,-28.1230,25.4999,GPS
Tumahole Clinic,Clinic,MoH,-26.9162,27.4677,GPS
Tweefontein Clinic,Clinic,MoH,-29.3701,26.9256,GPS
Tweespruit Clinic,Clinic,MoH,-29.1875,27.0254,GPS
Universitas C Hospital,National Central Hospital,MoH,-29.1180,26.1843,GPS
Vaal Rock Clinic,Clinic,MoH,-28.6815,26.4614,GPS
Vaalpark Clinic,Clinic,MoH,-26.7730,27.8390,GPS
Vanstadensrus Clinic,Clinic,MoH,-29.9852,27.0136,GPS
Villiers Clinic,Clinic,MoH,-27.0290,28.5979,GPS
Virginia Clinic,Clinic,MoH,-28.1076,26.8641,GPS
Vivian Mangwane Clinic,Clinic,MoH,-26.9115,27.4907,GPS
Vrede Clinic,Clinic,MoH,-27.4343,29.1553,GPS
Welkom Clinic,Clinic,MoH,-27.9854,26.7414,GPS
Westdene Clinic,Clinic,MoH,-29.1027,26.2076,GPS
Wilgehof Clinic,Clinic,MoH,-29.1276,26.1912,GPS
Winburg Clinic,Clinic,MoH,-28.5186,27.0131,GPS
Winburg Hospital,District Hospital,MoH,-28.5098,27.0080,GPS
Winnie Mandela Botshabelo Clinic,Clinic,MoH,-29.2182,26.7033,GPS
Winnie Mandela Rouxville Clinic,Clinic,MoH,-30.4077,26.8309,GPS
Zamani Clinic,Clinic,MoH,-27.6687,29.5613,GPS
Zamdela CHC,Community Health Centre,MoH,-26.8421,27.8467,GPS
17 Esselen Street Clinic,Clinic,Local authority,-26.1910,28.0450,GPS
4th Avenue Clinic,Clinic,MoH,-26.1052,28.0908,GPS
80 Albert Street Clinic,Clinic,MoH,-26.2077,28.0496,GPS
Adelaide Tambo Clinic,Clinic,MoH,-25.5819,28.2333,GPS
Akasia Refugee Shelter Clinic,Clinic,MoH,-25.6381,28.1233,GPS
Albertina Sisulu Clinic,Clinic,Local authority,-26.5769,27.8486,GPS
Alberton North Clinic,Clinic,Local authority,-26.2596,28.1286,GPS
Alexandra 8th Avenue Clinic,Clinic,Local authority,-26.1095,28.0959,GPS
Alexandra CHC,Community Health Centre,Local authority,-26.1164,28.0884,GPS
Alexandra East Bank Clinic,Clinic,Local authority,-26.1067,28.1100,GPS
Alra Park Clinic,Clinic,Local authority,-26.4327,28.5083,GPS
Alra Park Ext 3 Clinic,Clinic,Local authority,-26.4460,28.5127,GPS
Andries Raditsela Clinic,Clinic,MoH,-26.3343,28.3887,GPS
Atteridgeville Clinic,Clinic,Local authority,-25.7686,28.0784,GPS
Azaadville Clinic,Clinic,Local authority,-26.1709,27.7583,GPS
Badirile Clinic,Clinic,Local authority,-26.1302,27.5928,GPS
Bakerton Health Post,Health Post,Local authority,-26.2263,28.4691,GPS
Bapsfontein Clinic,Clinic,Local authority,-26.0028,28.4135,GPS
Barcelona Clinic,Clinic,Local authority,-26.1091,28.4522,GPS
Barney Molokoane Clinic,Clinic,MoH,-26.4924,27.8791,GPS
Bedfordview Clinic,Clinic,Local authority,-26.1793,28.1345,GPS
Bekkersdal East Clinic,Clinic,Local authority,-26.2834,27.7040,GPS
Bekkersdal West CHC,Community Health Centre,Local authority,-26.2861,27.6974,GPS
Bellavista Clinic,Clinic,Local authority,-26.2557,28.0293,GPS
Berario Clinic,Clinic,Local authority,-26.1356,27.9528,GPS
Berea Clinic,Clinic,Local authority,-26.1879,28.0550,GPS
Bertha Gxowa Clinic,Clinic,MoH,-26.2213,28.1628,GPS
Bertha Gxowa Hospital,District Hospital,MoH,-26.2197,28.1631,GPS
Beverly Hills Clinic,Clinic,Local authority,-26.5424,27.8238,GPS
Bezvalley Clinic,Clinic,Local authority,-26.1866,28.0883,GPS
Bheki Mlangeni District Hospital,District Hospital,MoH,-26.2478,27.8569,GPS
Birchleigh Clinic,Clinic,Local authority,-26.0674,28.2286,GPS
Birchleigh North Clinic,Clinic,Local authority,-26.0523,28.2302,GPS
Blybank Clinic,Clinic,MoH,-26.3380,27.4748,GPS
Blyvooruitsig Clinic,Clinic,Local authority,-26.4003,27.3744,GPS
Bobby Satellite Clinic,Satellite Clinic,MoH,-26.3353,27.9874,GPS
Boekenhout Clinic,Clinic,MoH,-25.5058,28.0648,GPS
Boikhutsong Clinic,Clinic,MoH,-25.4483,28.1125,GPS
Boipatong CHC,Community Health Centre,Local authority,-26.6721,27.8479,GPS
Boitumelo Clinic,Clinic,MoH,-26.5623,27.8243,GPS
Boksburg Civic Centre Clinic,Clinic,Local authority,-26.2218,28.2521,GPS
Boksburg North Clinic,Clinic,Local authority,-26.2092,28.2532,GPS
Bonaero Park Clinic,Clinic,Local authority,-26.1212,28.2563,GPS
Bophelong Clinic Johannesburg A,Clinic,Local authority,-26.0046,28.1905,GPS
Bophelong Clinic Johannesburg C,Clinic,Local authority,-26.2441,27.8078,GPS
Bophelong Clinic Tshwane 3,Clinic,MoH,-25.7719,28.0534,GPS
Bosmont Clinic,Clinic,Local authority,-26.1895,27.9587,GPS
Brackenhurst Clinic,Clinic,Local authority,-26.3139,28.0970,GPS
Bronkhorstspruit Clinic,Clinic,MoH,-25.8096,28.7436,GPS
Bronkhorstspruit Hospital,District Hospital,MoH,-25.8033,28.7169,GPS
Calcot Dhlephu Clinic,Clinic,Local authority,-26.3767,28.3782,GPS
Carletonville Central Clinic,Clinic,Local authority,-26.3578,27.3979,GPS
Carletonville Hospital,District Hospital,MoH,-26.3470,27.3945,GPS
Charlotte Maxeke Hospital,National Central Hospital,MoH,-26.1740,28.0469,GPS
