name,type,ownership,latitude,longitude,source
Cecilia Makiwane Hospital,Regional Hospital,MoH,-32.9278,27.7442,GPS
Central CHC Sandford,Community Health Centre,MoH,-33.9580,25.6017,GPS
Central Clinic East London,Clinic,MoH,-33.0168,27.9059,GPS
Central Clinic King William's Town,Clinic,MoH,-32.8794,27.3954,GPS
Central Clinic Port Elizabeth,Clinic,MoH,-33.9643,25.6133,GPS
Chatty Clinic,Clinic,MoH,-33.8732,25.4954,GPS
Chris Hani Clinic,Clinic,MoH,-32.9546,27.9251,GPS
Cimezile Clinic,Clinic,MoH,-32.2740,26.6235,GPS
Civic Centre Clinic Mthatha,Clinic,MoH,-31.5826,28.7899,GPS
Clarkebury Clinic,Clinic,MoH,-31.7919,28.2879,GPS
Clarkson Clinic,Clinic,MoH,-34.0104,24.2945,GPS
Cloete Joubert Hospital  Barkly East,District Hospital,MoH,-30.9676,27.5851,GPS
Coega Satellite Clinic,Satellite Clinic,MoH,-33.7567,25.6579,GPS
Cofimvaba Hospital,District Hospital,MoH,-32.0119,27.5835,GPS
Colchester Health Post,Health Post,MoH,-33.6830,25.8000,GPS
Coldstream Satellite Clinic,Satellite Clinic,MoH,-33.9618,23.7008,GPS
Collondale Satellite Clinic,Satellite Clinic,MoH,-33.0397,27.8188,GPS
Cradock Gateway Clinic,Clinic,MoH,-32.1689,25.6162,GPS
Cradock Hospital,District Hospital,MoH,-32.1673,25.6224,GPS
Cumakala 1 Clinic,Clinic,MoH,-32.5571,27.4475,GPS
Cumakala 2 Clinic,Clinic,MoH,-32.5629,27.4487,GPS
Cumakala Satellite Clinic,Satellite Clinic,MoH,-31.6481,27.2246,GPS
Cwecweni Clinic,Clinic,MoH,-31.9367,28.0558,GPS
Cwele Clinic,Clinic,MoH,-31.6720,29.2129,GPS
Cwili Clinic,Clinic,MoH,-32.6770,28.3633,GPS
Daliwe Clinic,Clinic,MoH,-32.3019,27.1513,GPS
Daliwonga Clinic,Clinic,MoH,-31.1052,29.9072,GPS
Debe Nek Clinic,Clinic,MoH,-32.8458,27.1379,GPS
Didimana Clinic,Clinic,MoH,-32.1758,26.8186,GPS
Dimbaza CHC,Community Health Centre,MoH,-32.8352,27.2139,GPS
Donnington Clinic,Clinic,MoH,-32.7236,27.4258,GPS
Dora Nginza Hospital,Regional Hospital,MoH,-33.8825,25.5631,GPS
Dordrecht Clinic,Clinic,MoH,-31.3748,27.0462,GPS
Dordrecht Hospital,District Hospital,MoH,-31.3913,27.0456,GPS
Double Falls Clinic,Clinic,MoH,-31.3739,29.1230,GPS
Dr CL Bikitsha Clinic,Clinic,MoH,-32.2782,28.1055,GPS
Dr Malizo Mpehle Memorial Hospital,District Hospital,MoH,-31.3165,28.7781,GPS
Drake Road Clinic,Clinic,MoH,-32.9857,27.9292,GPS
Du Preez Street Clinic,Clinic,MoH,-33.8033,25.4627,GPS
Duncan Village CHC,Community Health Centre,MoH,-33.0078,27.8860,GPS
Dundee Clinic,Clinic,MoH,-30.7489,29.4183,GPS
Dungu Clinic,Clinic,MoH,-30.9569,29.3028,GPS
Edamini Clinic,Clinic,MoH,-33.8327,25.3856,GPS
Efata Clinic,Clinic,MoH,-31.5697,28.7242,GPS
Ekuphumleni Clinic,Clinic,MoH,-32.1781,26.7819,GPS
Ekuphumleni Satellite Clinic Nelson Mandela Bay,Satellite Clinic,MoH,-33.8545,25.2903,GPS
Elliot Clinic,Clinic,MoH,-31.3333,27.8495,GPS
Elliot Hospital,District Hospital,MoH,-31.3371,27.8380,GPS
Elucwecwe Clinic,Clinic,MoH,-31.7338,27.8688,GPS
Eluhewini Clinic,Clinic,MoH,-31.7058,28.1264,GPS
Elukholweni Clinic,Clinic,MoH,-30.6329,28.8481,GPS
Eluxolweni Clinic,Clinic,MoH,-31.6433,25.8052,GPS
Empilisweni Clinic,Clinic,MoH,-31.1936,28.2395,GPS
Empilisweni Hospital,District Hospital,MoH,-30.5332,27.3534,GPS
Empilweni Gompo CHC,Community Health Centre,MoH,-33.0145,27.8489,GPS
Engojini Clinic,Clinic,MoH,-32.2239,26.7539,GPS
Esilindini Clinic,Clinic,MoH,-30.5439,27.3303,GPS
