FacilityId,Ou3uid,FacilityName,Province,District,SubDistrict,Ou2Code,Ou3Code
631133,z478S4lofBn,kz Matikwe Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
362551,thF0XvUHYib,kz Matiwaneskop Clinic,kz KwaZulu-Natal Province,kz Uthukela District Municipality,kz Alfred Duma Local Municipality,446311,353812
837742,KIRpUjJ7mEi,kz Mawele Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
541460,Zrt8CaZ4BkE,kz Mayizekane Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz uMshwathi Local Municipality,446311,575421
867733,KIRpUjJ7mEi,kz Mazabeko Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
637624,dZylikE1PsB,kz Mbadleni Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Jozini Local Municipality,446311,364630
534433,KIRpUjJ7mEi,kz Mbangweni Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
510433,dZylikE1PsB,kz Mbazwana Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz uMhlabuyalingana Local Municipality,446311,364630
385042,NivY3BZqeLr,kz Mbekaphansi Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz Maphumulo Local Municipality,446311,585430
565833,D2TQgzl3HzB,kz Mbonwa Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umuziwabantu Local Municipality,446311,546212
746742,D2TQgzl3HzB,kz Mbotho Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umuziwabantu Local Municipality,446311,546212
265933,dZylikE1PsB,kz Mboza Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz uMhlabuyalingana Local Municipality,446311,364630
752806,Zrt8CaZ4BkE,kz Mbuthisweni Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz Richmond Local Municipality,446311,575421
864306,dZylikE1PsB,kz Mduku Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Big 5 Hlabisa Local Municipality,446311,364630
599933,BRJK2K5mJIL,kz Mdumezulu Clinic,kz KwaZulu-Natal Province,kz Zululand District Municipality,kz Ulundi Local Municipality,446311,272903
759742,D2TQgzl3HzB,kz Meadow Sweet Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umuziwabantu Local Municipality,446311,546212
333142,anWKEo1Z2Pz,kz Meerensee Clinic,kz KwaZulu-Natal Province,kz King Cetshwayo District Municipality,kz City of uMhlathuze Local Municipality,446311,367621
853951,anWKEo1Z2Pz,kz Melmoth Clinic,kz KwaZulu-Natal Province,kz King Cetshwayo District Municipality,kz Mthonjaneni Local Municipality,446311,367621
487642,z478S4lofBn,kz Merebank Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
749442,anWKEo1Z2Pz,kz Mfongosi Clinic,kz KwaZulu-Natal Province,kz King Cetshwayo District Municipality,kz Nkandla Local Municipality,446311,367621
848615,z478S4lofBn,kz Mfume Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
381515,D2TQgzl3HzB,kz Mgangeni Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umdoni Local Municipality,446311,546212
276442,D2TQgzl3HzB,kz Mgayi Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umzumbe Local Municipality,446311,546212
837251,KIRpUjJ7mEi,kz Mhlangana Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
948324,dZylikE1PsB,kz Mhlekazi Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Jozini Local Municipality,446311,364630
902533,KIRpUjJ7mEi,kz Mhlungwane Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Nquthu Local Municipality,446311,433121
631724,KIRpUjJ7mEi,kz Mkhonjane Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Nquthu Local Municipality,446311,433121
667660,KIRpUjJ7mEi,kz Mkhuphula Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
503060,dZylikE1PsB,kz Mkuze Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Jozini Local Municipality,446311,364630
245451,oEIslAINyYA,kz Mndozo Clinic,kz KwaZulu-Natal Province,kz Amajuba District Municipality,kz Newcastle Local Municipality,446311,863112
844751,dZylikE1PsB,kz Mnqobokazi Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Big 5 Hlabisa Local Municipality,446311,364630
889751,ZX1oX6qk4hw,kz Mntungwana Clinic,kz KwaZulu-Natal Province,kz Harry Gwala District Municipality,kz Ubuhlebezwe Local Municipality,446311,866912
841451,ZX1oX6qk4hw,kz Mnyamana Clinic,kz KwaZulu-Natal Province,kz Harry Gwala District Municipality,kz Dr Nkosazana Dlamini Zuma Local Municipality,446311,866912
524124,NivY3BZqeLr,kz Molokohlo Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz Ndwedwe Local Municipality,446311,585430
523360,z478S4lofBn,kz Molweni Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
860906,BRJK2K5mJIL,kz Mondlo 2 Clinic,kz KwaZulu-Natal Province,kz Zululand District Municipality,kz AbaQulusi Local Municipality,446311,272903
365551,NivY3BZqeLr,kz Montebello Gateway Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz Ndwedwe Local Municipality,446311,585430
650624,Zrt8CaZ4BkE,kz Mooi River Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz Mpofana Local Municipality,446311,575421
704751,D2TQgzl3HzB,kz Morrison's Post Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Umzumbe Local Municipality,446311,546212
548024,dZylikE1PsB,kz Mosvold Gateway Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Jozini Local Municipality,446311,364630
885424,anWKEo1Z2Pz,kz Mpandleni Clinic,kz KwaZulu-Natal Province,kz King Cetshwayo District Municipality,kz Nkandla Local Municipality,446311,367621
461706,dZylikE1PsB,kz Mpembeni Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Big 5 Hlabisa Local Municipality,446311,364630
868242,NivY3BZqeLr,kz Mphise Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz Maphumulo Local Municipality,446311,585430
277051,z478S4lofBn,kz Mpola Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
830151,Zrt8CaZ4BkE,kz Mpophomeni Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz uMngeni Local Municipality,446311,575421
663560,dZylikE1PsB,kz Mpukunyoni Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Mtubatuba Local Municipality,446311,364630
262642,z478S4lofBn,kz Mpumalanga Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
757351,NivY3BZqeLr,kz Mpumelelo Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz KwaDukuza Local Municipality,446311,585430
868715,Zrt8CaZ4BkE,kz Mpumuza Clinic,kz KwaZulu-Natal Province,kz uMgungundlovu District Municipality,kz Msunduzi Local Municipality,446311,575421
497642,BRJK2K5mJIL,kz Mpungamhlophe Clinic,kz KwaZulu-Natal Province,kz Zululand District Municipality,kz Ulundi Local Municipality,446311,272903
411433,ZX1oX6qk4hw,kz Mqatsheni Clinic,kz KwaZulu-Natal Province,kz Harry Gwala District Municipality,kz Dr Nkosazana Dlamini Zuma Local Municipality,446311,866912
316615,dZylikE1PsB,kz Mseleni Gateway Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz uMhlabuyalingana Local Municipality,446311,364630
388624,dZylikE1PsB,kz Mshudu Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz uMhlabuyalingana Local Municipality,446311,364630
274533,KIRpUjJ7mEi,kz Msizini Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
986624,z478S4lofBn,kz Msunduze Bridge Clinic,kz KwaZulu-Natal Province,kz eThekwini Metropolitan Municipality,kz eThekwini Metropolitan Municipality Sub,446311,391012
218433,NivY3BZqeLr,kz Mthandeni Clinic,kz KwaZulu-Natal Province,kz iLembe District Municipality,kz Maphumulo Local Municipality,446311,585430
343151,D2TQgzl3HzB,kz Mthimude Clinic,kz KwaZulu-Natal Province,kz Ugu District Municipality,kz Ray Nkonyeni Local Municipality,446311,546212
712124,anWKEo1Z2Pz,kz Mthungweni Clinic,kz KwaZulu-Natal Province,kz King Cetshwayo District Municipality,kz Nkandla Local Municipality,446311,367621
825151,dZylikE1PsB,kz Mtubatuba Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz Mtubatuba Local Municipality,446311,364630
472251,KIRpUjJ7mEi,kz Muden Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Umvoti Local Municipality,446311,433121
960142,KIRpUjJ7mEi,kz Mumbe Clinic,kz KwaZulu-Natal Province,kz Umzinyathi District Municipality,kz Msinga Local Municipality,446311,433121
562215,dZylikE1PsB,kz Mvelabusha Clinic,kz KwaZulu-Natal Province,kz Umkhanyakude District Municipality,kz uMhlabuyalingana Local Municipality,446311,364630
141951,ZX1oX6qk4hw,kz Mvoti Clinic,kz KwaZulu-Natal Province,kz Harry Gwala District Municipality,kz uMzimkhulu Local Municipality,446311,866912
251333,ZX1oX6qk4hw,kz Mvubukazi Clinic,kz KwaZulu-Natal Province,kz Harry Gwala District Municipality,kz uMzimkhulu Local Municipality,446311,866912
